,date,unit,accu,change_rate,accu_qfq
0,2023-02-09,2.7956,1.0219,1.76,2.7956
1,2023-02-08,2.7472,1.0042,-0.68,2.7471783149036106
2,2023-02-07,2.7659,1.0111,0.47,2.7660545650259323
3,2023-02-06,2.753,1.0064,-0.5,2.7531968294353653
4,2023-02-03,2.7667,1.0114,-0.12,2.7668752715529896
5,2023-02-02,2.7701,1.0126,0.24,2.770158097661219
6,2023-02-01,2.7636,1.0102,1.63,2.7635924454447593
7,2023-01-31,2.7192,0.994,0.28,2.7192742929836577
8,2023-01-30,2.7116,0.9912,0.72,2.711614365397788
9,2023-01-20,2.6921,0.9841,0.91,2.6921909775907618
10,2023-01-19,2.6677,0.9752,0.95,2.667843350621391
11,2023-01-18,2.6426,0.966,0.24,2.642675017124963
12,2023-01-17,2.6363,0.9637,0.08,2.636382933750856
13,2023-01-16,2.6342,0.9629,1.15,2.6341943830120362
14,2023-01-13,2.6043,0.952,0.42,2.6043753791956155
15,2023-01-12,2.5933,0.948,0.04,2.5934326255015163
16,2023-01-11,2.5923,0.9476,-0.81,2.5923383501321067
17,2023-01-10,2.6135,0.9554,0.07,2.6136767198356003
18,2023-01-09,2.6117,0.9547,0.54,2.611761737939133
19,2023-01-06,2.5976,0.9496,0.23,2.5978097269791562
20,2023-01-05,2.5916,0.9474,1.01,2.5917912124474016
21,2023-01-04,2.5657,0.9379,-0.05,2.5658021724239157
22,2023-01-03,2.567,0.9384,2.26,2.5671700166356786
23,2022-12-31,2.5102,0.9176,,2.5102676974263622
24,2022-12-30,2.5103,0.9176,0.31,2.5102676974263622
25,2022-12-29,2.5025,0.9148,-0.11,2.502607769840493
26,2022-12-28,2.5052,0.9158,-0.9,2.5053434582640177
27,2022-12-27,2.528,0.9241,0.79,2.528049672179274
28,2022-12-26,2.5082,0.9169,1.86,2.5083527155298952
29,2022-12-23,2.4625,0.9002,-0.42,2.462666718857031
30,2022-12-22,2.473,0.904,-1.62,2.473062334866425
31,2022-12-21,2.5137,0.9189,-0.83,2.513824092376945
32,2022-12-20,2.5347,0.9266,-0.77,2.5348888932380857
33,2022-12-19,2.5543,0.9337,-1.97,2.5543122810451115
34,2022-12-16,2.6056,0.9525,-1.18,2.6057432234073783
35,2022-12-15,2.6367,0.9638,0.43,2.6366565025932083
36,2022-12-14,2.6255,0.9598,-0.37,2.625713748899109
37,2022-12-13,2.6352,0.9633,-0.93,2.6352886583814463
38,2022-12-12,2.66,0.9724,-0.38,2.660183423035522
39,2022-12-09,2.6701,0.9761,0.26,2.6703054702025635
40,2022-12-08,2.6632,0.9735,-0.64,2.663192680301399
41,2022-12-07,2.6803,0.9798,0.03,2.6804275173696053
42,2022-12-06,2.6796,0.9795,-0.16,2.679606810842548
43,2022-12-05,2.684,0.9811,0.5,2.6839839123201874
44,2022-12-02,2.6707,0.9763,0.33,2.6708526078872685
45,2022-12-01,2.6619,0.9731,1.04,2.662098404931989
46,2022-11-30,2.6344,0.963,-0.07,2.6344679518543885
47,2022-11-29,2.6362,0.9637,1.57,2.636382933750856
48,2022-11-28,2.5955,0.9488,-0.3,2.5956211762403365
49,2022-11-25,2.6033,0.9516,-1.13,2.603281103826206
50,2022-11-24,2.6331,0.9625,0.29,2.633100107642626
51,2022-11-23,2.6256,0.9598,-0.24,2.625713748899109
52,2022-11-22,2.6318,0.9621,-1.59,2.632005832273216
53,2022-11-21,2.6744,0.9776,0.46,2.6744090028378507
54,2022-11-18,2.6621,0.9731,-0.83,2.662098404931989
55,2022-11-17,2.6843,0.9812,0.18,2.68425748116254
56,2022-11-16,2.6796,0.9795,-0.74,2.679606810842548
57,2022-11-15,2.6997,0.9869,2.32,2.6998509051766315
58,2022-11-14,2.6386,0.9645,-0.67,2.6385714844896757
59,2022-11-11,2.6563,0.971,0.61,2.656353459242587
60,2022-11-10,2.6401,0.9651,-1.09,2.6402128975437904
61,2022-11-09,2.6692,0.9757,-0.28,2.669211194833154
62,2022-11-08,2.6766,0.9784,-0.28,2.676597553576671
63,2022-11-07,2.6841,0.9812,0.06,2.68425748116254
64,2022-11-04,2.6825,0.9806,2.17,2.6826160681084255
65,2022-11-03,2.6254,0.9597,0.64,2.625440180056757
66,2022-11-02,2.6088,0.9536,1.31,2.6087524806732554
67,2022-11-01,2.5751,0.9413,2.34,2.5751035130639
68,2022-10-31,2.5162,0.9198,0.84,2.516286211958117
69,2022-10-28,2.4953,0.9122,-3.43,2.4954949799393287
70,2022-10-27,2.5838,0.9445,-0.45,2.5838577160191796
71,2022-10-26,2.5954,0.9487,2.13,2.5953476073979838
72,2022-10-25,2.5412,0.9289,-0.35,2.5411809766121927
73,2022-10-24,2.5501,0.9322,-0.85,2.550208748409825
74,2022-10-21,2.5719,0.9402,0.04,2.572094255798023
75,2022-10-20,2.5709,0.9398,-0.49,2.570999980428613
76,2022-10-19,2.5835,0.9444,-0.72,2.5835841471768273
77,2022-10-18,2.6023,0.9513,0.55,2.6024603972991485
78,2022-10-17,2.588,0.946,1.02,2.5879612486544668
79,2022-10-14,2.5618,0.9365,2.46,2.5619722086309813
80,2022-10-13,2.5002,0.9139,0.97,2.500145650259321
81,2022-10-12,2.4762,0.9052,2.9,2.4763451609746547
82,2022-10-11,2.4065,0.8797,0.55,2.4065851061747723
83,2022-10-10,2.3933,0.8749,-2.3,2.3934538017418534
84,2022-09-30,2.4496,0.8955,-1.66,2.4498089832664642
85,2022-09-29,2.4909,0.9105,0.28,2.490844309619336
86,2022-09-28,2.4839,0.908,-3.11,2.4840050885605245
87,2022-09-27,2.5635,0.9371,2.0,2.5636136216850964
88,2022-09-26,2.5132,0.9187,-1.26,2.5132769546922398
89,2022-09-23,2.5453,0.9304,-1.9,2.54528450924748
90,2022-09-22,2.5947,0.9485,0.1,2.594800469713279
91,2022-09-21,2.5921,0.9475,-0.02,2.592064781289754
92,2022-09-20,2.5925,0.9477,1.27,2.592611918974459
93,2022-09-19,2.5599,0.9358,-1.27,2.560057226734514
94,2022-09-16,2.5927,0.9478,-2.07,2.5928854878168113
95,2022-09-15,2.6476,0.9678,-3.09,2.647599256287308
96,2022-09-14,2.732,0.9987,-1.08,2.7321320285742243
97,2022-09-13,2.7617,1.0095,-0.14,2.7616774635482924
98,2022-09-09,2.7657,1.011,0.24,2.765780996183579
99,2022-09-08,2.7591,1.0086,-0.95,2.7592153439671194
100,2022-09-07,2.7856,1.0183,0.64,2.7857515216753104
101,2022-09-06,2.7679,1.0118,1.89,2.7679695469223993
102,2022-09-05,2.7165,0.993,0.21,2.716538604560133
103,2022-09-02,2.7109,0.991,0.88,2.7110672277130834
104,2022-09-01,0.9823,0.9823,-0.5,2.6872667384284172
105,2022-08-31,0.9872,0.9872,-3.23,2.700671611703689
106,2022-08-30,1.0202,1.0202,-0.62,2.7909493296800076
107,2022-08-29,1.0266,1.0266,0.59,2.808457735590566
108,2022-08-26,1.0206,1.0206,-0.51,2.7920436050494173
109,2022-08-25,1.0258,1.0258,-0.34,2.8062691848517467
110,2022-08-24,1.0293,1.0293,-3.65,2.8158440943340834
111,2022-08-23,1.0683,1.0683,0.24,2.922535942851551
112,2022-08-22,1.0657,1.0657,0.75,2.9154231529503867
113,2022-08-19,1.0578,1.0578,-1.59,2.8938112144045403
114,2022-08-18,1.0749,1.0749,0.32,2.9405914864468143
115,2022-08-17,1.0715,1.0715,0.07,2.93129014580683
116,2022-08-16,1.0708,1.0708,0.56,2.929375163910363
117,2022-08-15,1.0648,1.0648,0.75,2.9129610333692137
118,2022-08-12,1.0569,1.0569,-0.9,2.8913490948233678
119,2022-08-11,1.0665,1.0665,1.16,2.917611703689206
120,2022-08-10,1.0543,1.0543,0.07,2.8842363049222035
121,2022-08-09,1.0536,1.0536,0.43,2.8823213230257365
122,2022-08-08,1.0491,1.0491,1.22,2.870010725119874
123,2022-08-05,1.0365,1.0365,1.87,2.835541050983462
124,2022-08-04,1.0175,1.0175,0.62,2.7835629709364906
125,2022-08-03,1.0112,1.0112,-0.6,2.7663281338682846
126,2022-08-02,1.0173,1.0173,-3.1,2.783015833251786
127,2022-08-01,1.0498,1.0498,0.88,2.871925707016342
128,2022-07-29,1.0406,1.0406,-0.45,2.8467573735199134
129,2022-07-28,1.0453,1.0453,0.71,2.85961510911048
130,2022-07-27,1.0379,1.0379,1.0,2.839371014776397
131,2022-07-26,1.0276,1.0276,1.15,2.8111934240140912
132,2022-07-25,1.0159,1.0159,-1.25,2.779185869458851
133,2022-07-22,1.0288,1.0288,-0.58,2.8144762501223206
134,2022-07-21,1.0348,1.0348,-0.51,2.8308903806634698
135,2022-07-20,1.0401,1.0401,1.42,2.8453895293081515
136,2022-07-19,1.0255,1.0255,0.8,2.8054484783246894
137,2022-07-18,1.0174,1.0174,1.48,2.7832894020941383
138,2022-07-15,1.0026,1.0026,-0.97,2.7428012134259707
139,2022-07-14,1.0124,1.0124,1.26,2.769610959976514
140,2022-07-13,0.9998,0.9998,0.82,2.7351412858401014
141,2022-07-12,0.9917,0.9917,-1.66,2.712982209609551
142,2022-07-11,1.0084,1.0084,-1.53,2.758668206282415
143,2022-07-08,1.0241,1.0241,-0.56,2.8016185145317545
144,2022-07-07,1.0299,1.0299,1.27,2.817485507388198
145,2022-07-06,1.017,1.017,-1.15,2.782195126724728
146,2022-07-05,1.0288,1.0288,-0.57,2.8144762501223206
147,2022-07-04,1.0347,1.0347,1.16,2.830616811821117
148,2022-07-01,1.0228,1.0228,-0.01,2.798062119581172
149,2022-06-30,1.0229,1.0229,1.39,2.798335688423524
150,2022-06-29,1.0089,1.0089,-2.51,2.7600360504941768
