,date,open,close,high,low,volume,volume_value,amplitude,volatility_ratio,volatility_price,change_rate
0,2020-03-04,0.996,0.979,1.001,0.957,13526686,1322832672.0,0.0,0.0,0.0,17.57
1,2020-03-05,0.985,0.977,0.991,0.964,5895069,575078432.0,2.76,-0.2,-0.002,7.66
2,2020-03-06,0.967,0.975,0.99,0.962,5883688,575898160.0,2.87,-0.2,-0.002,7.64
3,2020-03-09,0.963,0.928,0.964,0.925,9225925,869413840.0,4.0,-4.82,-0.047,11.98
4,2020-03-10,0.912,0.947,0.951,0.903,6810815,632300416.0,5.17,2.05,0.019,8.84
5,2020-03-11,0.953,0.93,0.956,0.929,5691370,536790496.0,2.85,-1.8,-0.017,7.39
6,2020-03-12,0.913,0.901,0.917,0.892,7042839,636691296.0,2.69,-3.12,-0.029,9.15
7,2020-03-13,0.848,0.879,0.893,0.847,6299091,547294496.0,5.11,-2.44,-0.022,8.18
8,2020-03-16,0.887,0.816,0.887,0.814,6159238,520545744.0,8.3,-7.17,-0.063,8.0
9,2020-03-17,0.827,0.805,0.837,0.782,5985343,481898256.0,6.74,-1.35,-0.011,7.77
10,2020-03-18,0.811,0.79,0.832,0.788,6028459,490266048.0,5.47,-1.86,-0.015,7.83
11,2020-03-19,0.792,0.785,0.8,0.765,5548304,433131824.0,4.43,-0.63,-0.005,7.21
12,2020-03-20,0.8,0.782,0.806,0.768,5069243,396968416.0,4.84,-0.38,-0.003,6.58
13,2020-03-23,0.756,0.719,0.756,0.717,6208450,455576048.0,4.99,-8.06,-0.063,8.06
14,2020-03-24,0.739,0.74,0.749,0.716,6207082,456893040.0,4.59,2.92,0.021,8.06
15,2020-03-25,0.768,0.779,0.783,0.762,7289396,565276512.0,2.84,5.27,0.039,9.47
16,2020-03-26,0.77,0.766,0.778,0.766,6137158,473731200.0,1.54,-1.67,-0.013,7.97
17,2020-03-27,0.777,0.764,0.782,0.763,3165457,244170264.0,2.48,-0.26,-0.002,4.11
18,2020-03-30,0.75,0.752,0.761,0.733,3734596,278547776.0,3.66,-1.57,-0.012,4.85
19,2020-03-31,0.759,0.759,0.764,0.753,2899234,220148176.0,1.46,0.93,0.007,3.77
20,2020-04-01,0.774,0.774,0.794,0.761,5724060,446204608.0,4.35,1.98,0.015,7.43
21,2020-04-02,0.769,0.796,0.798,0.768,4220822,330529744.0,3.88,2.84,0.022,5.48
22,2020-04-03,0.799,0.787,0.802,0.784,3176042,251595819.0,2.26,-1.13,-0.009,4.12
23,2020-04-07,0.802,0.814,0.815,0.802,4035116,325934848.0,1.65,3.43,0.027,5.24
24,2020-04-08,0.808,0.807,0.812,0.8,3290729,265224177.0,1.47,-0.86,-0.007,4.27
25,2020-04-09,0.813,0.8,0.815,0.798,2916608,233834086.0,2.11,-0.87,-0.007,3.79
